2019-02-24 10:50:18, intruder, <built-in function id>, -752, 1452
2019-02-24 10:50:18, intruder, <built-in function id>, -231, 507
2019-02-24 10:50:20, intruder, <built-in function id>, -521, 1409
2019-02-24 10:50:20, intruder, <built-in function id>, -54, 121
2019-02-24 10:50:20, intruder, <built-in function id>, -59, 132
2019-02-24 10:50:20, intruder, <built-in function id>, -65, 210
2019-02-24 10:50:21, intruder, <built-in function id>, -86, 312
2019-02-24 10:50:21, intruder, <built-in function id>, -68, 168
2019-02-24 10:50:21, intruder, <built-in function id>, -101, 431
2019-02-24 10:50:22, intruder, <built-in function id>, -137, 355
2019-02-24 10:50:22, intruder, <built-in function id>, -40, 90
2019-02-24 10:50:22, intruder, <built-in function id>, -124, 412
2019-02-24 10:50:22, intruder, <built-in function id>, -49, 108
2019-02-24 10:50:23, intruder, <built-in function id>, -44, 87
2019-02-24 10:50:23, intruder, <built-in function id>, -47, 105
2019-02-24 10:50:23, intruder, <built-in function id>, -70, 142
2019-02-24 10:50:23, intruder, <built-in function id>, -42, 90
2019-02-24 10:50:23, intruder, <built-in function id>, -41, 94
2019-02-24 10:50:23, intruder, <built-in function id>, -86, 251
2019-02-24 10:50:23, intruder, <built-in function id>, -39, 90
2019-02-24 10:50:24, intruder, <built-in function id>, -57, 138
2019-02-24 10:50:24, intruder, <built-in function id>, -42, 94
2019-02-24 10:50:24, intruder, <built-in function id>, -44, 98
2019-02-24 10:50:24, intruder, <built-in function id>, -25, 56
2019-02-24 10:50:24, intruder, <built-in function id>, -65, 177
2019-02-24 10:50:24, intruder, <built-in function id>, -74, 202
2019-02-24 10:50:24, intruder, <built-in function id>, -37, 89
2019-02-24 10:50:24, intruder, <built-in function id>, -28, 60
2019-02-24 10:50:24, intruder, <built-in function id>, -33, 79
2019-02-24 10:50:24, intruder, <built-in function id>, -46, 93
2019-02-24 10:50:25, intruder, <built-in function id>, -40, 87
2019-02-24 10:50:25, intruder, <built-in function id>, -26, 55
2019-02-24 10:50:25, intruder, <built-in function id>, -22, 49
2019-02-24 10:50:25, intruder, <built-in function id>, -29, 61
2019-02-24 10:50:25, intruder, <built-in function id>, -26, 56
2019-02-24 10:50:25, intruder, <built-in function id>, -28, 68
2019-02-24 10:50:25, intruder, <built-in function id>, -27, 60
2019-02-24 10:50:25, intruder, <built-in function id>, -19, 46
2019-02-24 10:50:25, intruder, <built-in function id>, -25, 56
2019-02-24 10:50:25, intruder, <built-in function id>, -61, 184
2019-02-24 10:50:25, intruder, <built-in function id>, -26, 59
2019-02-24 10:50:25, intruder, <built-in function id>, -27, 60
2019-02-24 10:50:25, intruder, <built-in function id>, -17, 39
2019-02-24 10:50:25, intruder, <built-in function id>, -16, 34
2019-02-24 10:50:26, intruder, <built-in function id>, -48, 185
2019-02-24 10:50:26, intruder, <built-in function id>, -19, 44
2019-02-24 10:50:26, intruder, <built-in function id>, -23, 51
2019-02-24 10:50:26, intruder, <built-in function id>, -18, 40
2019-02-24 10:50:26, intruder, <built-in function id>, -18, 45
2019-02-24 10:50:26, intruder, <built-in function id>, -15, 32
2019-02-24 10:50:26, intruder, <built-in function id>, -28, 61
2019-02-24 10:50:26, intruder, <built-in function id>, -21, 46
2019-02-24 10:50:26, intruder, <built-in function id>, -44, 242
2019-02-24 10:50:26, intruder, <built-in function id>, -22, 48
2019-02-24 10:50:26, intruder, <built-in function id>, -41, 107
2019-02-24 10:50:27, intruder, <built-in function id>, -22, 49
2019-02-24 10:50:27, intruder, <built-in function id>, -25, 54
2019-02-24 10:50:27, intruder, <built-in function id>, -17, 39
2019-02-24 10:50:27, intruder, <built-in function id>, -15, 35
2019-02-24 10:50:27, intruder, <built-in function id>, -44, 103
2019-02-24 10:50:27, intruder, <built-in function id>, -22, 48
2019-02-24 10:50:27, intruder, <built-in function id>, -46, 170
2019-02-24 10:50:27, intruder, <built-in function id>, -28, 63
2019-02-24 10:50:27, intruder, <built-in function id>, -47, 108
2019-02-24 10:50:27, intruder, <built-in function id>, -17, 38
2019-02-24 10:50:27, intruder, <built-in function id>, -31, 69
2019-02-24 10:50:27, intruder, <built-in function id>, -22, 49
2019-02-24 10:50:27, intruder, <built-in function id>, -40, 209
2019-02-24 10:50:27, intruder, <built-in function id>, -19, 41
2019-02-24 10:50:27, intruder, <built-in function id>, -17, 41
2019-02-24 10:50:27, intruder, <built-in function id>, -16, 40
2019-02-24 10:50:27, intruder, <built-in function id>, -35, 77
2019-02-24 10:50:28, intruder, <built-in function id>, -22, 51
2019-02-24 10:50:28, intruder, <built-in function id>, -35, 75
2019-02-24 10:50:28, intruder, <built-in function id>, -33, 76
2019-02-24 10:50:28, intruder, <built-in function id>, -17, 38
2019-02-24 10:50:28, intruder, <built-in function id>, -21, 53
2019-02-24 10:50:28, intruder, <built-in function id>, -23, 53
2019-02-24 10:53:34, defender, <built-in function id>, -3696, 635
2019-02-24 10:53:34, intruder, <built-in function id>, -823, 1530
2019-02-24 10:53:34, intruder, <built-in function id>, -65, 122
2019-02-24 10:53:34, intruder, <built-in function id>, -39, 74
